Player name: kim_040122_outer_left_novision
Login date: 4/1/2022 1:22:53 PM
Coordinates:
15	11	0.6437936	-0.2709962	-0.250048	0.08779669
15	11	0.6550033	-0.2708435	-0.2499343	0.08769476
15	11	0.6660036	-0.2708466	-0.2499341	0.08766615
15	11	0.6772419	-0.2708927	-0.2499344	0.08766031
15	11	0.6883174	-0.2708595	-0.2498374	0.08770823
15	11	0.6997983	-0.2709609	-0.2499186	0.0879122
15	11	0.7109389	-0.2708721	-0.2498744	0.08789754
15	11	0.721734	-0.2707994	-0.2497796	0.08796871
15	11	0.7327079	-0.2707312	-0.2497915	0.08802366
15	11	0.7443092	-0.2707112	-0.2497705	0.08806098
15	11	0.7553126	-0.2708168	-0.2497582	0.08825552
15	11	0.7666724	-0.2707685	-0.249743	0.08830643
15	11	0.7778016	-0.2708274	-0.2497398	0.08835506
15	11	0.789009	-0.2709241	-0.2499692	0.08810365
15	11	0.8001119	-0.2708578	-0.2500526	0.0881592
15	11	0.8113971	-0.2707372	-0.2500248	0.08814692
15	11	0.8224007	-0.2707033	-0.2501119	0.08801341
15	11	0.8337579	-0.2707639	-0.2500392	0.08795702
15	11	0.8451783	-0.2709241	-0.2501087	0.08801711
15	11	0.8561321	-0.2710122	-0.2502178	0.08793068
15	11	0.8675251	-0.271022	-0.2502427	0.08790505
15	11	0.8781873	-0.2710994	-0.2502772	0.08790839
15	11	0.889293	-0.2708091	-0.2500173	0.08807445
15	11	0.9005148	-0.27077	-0.2500393	0.08808756
15	11	0.9117419	-0.2706792	-0.2500193	0.08806968
15	11	0.9228574	-0.2707121	-0.2500912	0.08798909
15	11	0.9338358	-0.2705635	-0.2502872	0.08811235
15	11	0.9450407	-0.2705125	-0.2503037	0.0881089
15	11	0.9564272	-0.2706957	-0.2503799	0.08826244
15	11	0.9678811	-0.270895	-0.2501333	0.08806217
15	11	0.9793689	-0.2709147	-0.2501373	0.08805907
15	11	0.9895096	-0.2707518	-0.2499959	0.08804464
15	11	1.000788	-0.2706001	-0.2502023	0.08819306
15	11	1.011857	-0.2706821	-0.2502345	0.08823013
15	11	1.0238	-0.2707002	-0.2503098	0.08817685
15	11	1.03483	-0.2707826	-0.2502475	0.0881145
15	11	1.045976	-0.2707084	-0.2502397	0.08805895
15	11	1.057114	-0.2707253	-0.2502464	0.08806348
15	11	1.068085	-0.2709281	-0.250047	0.08789134
15	11	1.079928	-0.2709439	-0.2500124	0.08785927
15	11	1.090427	-0.2711254	-0.2500705	0.08786917
15	11	1.101718	-0.2709984	-0.2502737	0.0879916
15	11	1.112767	-0.2709672	-0.2502694	0.08794832
15	11	1.124073	-0.2707577	-0.2501103	0.08800542
15	11	1.135355	-0.2707844	-0.2500402	0.08794212
15	11	1.146129	-0.2708942	-0.250059	0.08797073
15	11	1.157264	-0.2709293	-0.2500945	0.08796465
15	11	1.168488	-0.2709084	-0.2501096	0.08796847
15	11	1.180197	-0.2707286	-0.2500619	0.08792007
15	11	1.190864	-0.2707925	-0.2500994	0.08789647
15	11	1.202372	-0.2706866	-0.2502255	0.08797598
15	11	1.213191	-0.2706473	-0.2501118	0.08813357
15	11	1.224712	-0.2707877	-0.2501484	0.0882926
15	11	1.235641	-0.2708282	-0.2501316	0.08830523
15	11	1.24664	-0.2709039	-0.2501549	0.08837688
15	11	1.258148	-0.2708794	-0.2501973	0.08824122
15	11	1.269129	-0.271075	-0.2499832	0.08808994
15	11	1.280531	-0.2709562	-0.2499211	0.08803797
15	11	1.291596	-0.2709609	-0.2498914	0.0880183
15	11	1.303116	-0.2709814	-0.2498661	0.08801436
15	11	1.314182	-0.2710536	-0.2499008	0.08798742
15	11	1.325357	-0.2710057	-0.2498708	0.08794379
15	11	1.336867	-0.2709055	-0.2500061	0.08804667
15	11	1.347508	-0.2709152	-0.2499846	0.08807302
15	11	1.358799	-0.2710004	-0.249982	0.08815014
15	11	1.369791	-0.2710037	-0.2499691	0.08814073
15	11	1.38079	-0.2710115	-0.2500151	0.08804297
15	11	1.392324	-0.2709306	-0.2500055	0.08793616
15	11	1.402961	-0.2708977	-0.2500366	0.08794022
15	11	1.414583	-0.2709813	-0.2500058	0.08804429
15	11	1.425696	-0.2710557	-0.2500259	0.08813477
15	11	1.436531	-0.2709237	-0.2501748	0.088238
15	11	1.448283	-0.2709066	-0.2501876	0.088256
15	11	1.459496	-0.2708498	-0.2501099	0.08833385
15	11	1.470481	-0.2708185	-0.2501696	0.08839023
15	11	1.481878	-0.2707117	-0.2502022	0.08831227
15	11	1.492982	-0.2705101	-0.2501788	0.08818984
15	11	1.503726	-0.2706809	-0.2499338	0.08800745
15	11	1.514852	-0.2708471	-0.2500577	0.08792698
15	11	1.526606	-0.270828	-0.2500448	0.08791912
15	11	1.53723	-0.2708231	-0.2500646	0.0879221
15	11	1.548419	-0.2709951	-0.250185	0.08783841
15	11	1.559816	-0.2710285	-0.250201	0.08785605
15	11	1.57103	-0.2709988	-0.2501087	0.08772779
15	11	1.582636	-0.270926	-0.2499974	0.08779764
15	11	1.593322	-0.2709484	-0.2499928	0.08782148
15	11	1.604447	-0.2708693	-0.2501518	0.08794129
15	11	1.615938	-0.2708297	-0.2500733	0.08802772
15	11	1.626936	-0.2708271	-0.250079	0.088045
15	11	1.637817	-0.2707641	-0.2503141	0.08825421
15	11	1.64973	-0.2707433	-0.2503023	0.08830869
15	11	1.660245	-0.2706919	-0.2503059	0.08833182
15	11	1.671256	-0.2707376	-0.2501308	0.08819282
15	11	1.682636	-0.2708	-0.2502109	0.08810568
15	11	1.693426	-0.2709106	-0.2502134	0.08822739
15	11	1.704873	-0.2709024	-0.2502251	0.08825457
15	11	1.716197	-0.2708902	-0.2502588	0.08822083
15	11	1.727391	-0.2707814	-0.2502397	0.08814681
15	11	1.73826	-0.2706146	-0.2502304	0.08813596
15	11	1.749647	-0.2706085	-0.2502896	0.08806562
15	11	1.760549	-0.2707384	-0.2503369	0.08818972
15	11	1.771821	-0.270753	-0.2501532	0.08804107
15	11	1.783395	-0.270753	-0.2501601	0.08801377
15	11	1.794358	-0.2707446	-0.2501489	0.08799875
15	11	1.805775	-0.2709061	-0.2499534	0.08784783
15	11	1.81677	-0.2708505	-0.2497758	0.08797503
15	11	1.829088	-0.2708668	-0.2497276	0.0879817
15	11	1.839224	-0.2707174	-0.2498661	0.08809519
15	11	1.850443	-0.2708073	-0.2500186	0.08790886
15	11	1.861661	-0.2708145	-0.2499915	0.08789551
15	11	1.872478	-0.2709051	-0.2498519	0.0877676
15	11	1.884026	-0.2710826	-0.2497838	0.08791769
15	11	1.894856	-0.27106	-0.2497406	0.08784699
15	11	1.905876	-0.2710313	-0.2497764	0.08786786
15	11	1.916912	-0.2710577	-0.2497139	0.08789194
15	11	1.927899	-0.2710254	-0.249665	0.08787513
15	11	1.939062	-0.270788	-0.2499243	0.08807504
15	11	1.95045	-0.2708199	-0.2499897	0.08799529
15	11	1.961779	-0.2709388	-0.2500055	0.08810747
15	11	1.972699	-0.2709686	-0.2499827	0.08808625
15	11	1.984151	-0.2711635	-0.2501701	0.08798468
15	11	1.995146	-0.2710998	-0.250173	0.08790755
15	11	2.006154	-0.2710514	-0.2503641	0.0880276
15	11	2.017479	-0.2709758	-0.2502719	0.08815765
15	11	2.028548	-0.2708181	-0.2502669	0.08805645
15	11	2.039792	-0.2708114	-0.250355	0.08812761
15	11	2.051189	-0.2707831	-0.2503648	0.08817017
15	11	2.062327	-0.2708474	-0.2503814	0.08827662
15	11	2.073512	-0.2708048	-0.250347	0.08824182
15	11	2.084829	-0.2708523	-0.2504432	0.08817279
15	11	2.095719	-0.2708894	-0.2502265	0.08789659
15	11	2.106702	-0.2709295	-0.2502376	0.08789277
15	11	2.118036	-0.2708454	-0.2500845	0.08802366
15	11	2.129061	-0.2709051	-0.2500855	0.08806789
15	11	2.140166	-0.2707058	-0.2503169	0.08824646
15	11	2.151378	-0.2706959	-0.250301	0.08828366
15	11	2.162355	-0.2707208	-0.2503033	0.08836317
15	11	2.173731	-0.2708383	-0.2501186	0.08823574
15	11	2.184957	-0.2708148	-0.250108	0.08825421
15	11	2.196068	-0.2706931	-0.2500799	0.08816147
15	11	2.20709	-0.2708731	-0.249917	0.08804476
15	11	2.218369	-0.2709608	-0.250001	0.087906
15	11	2.229774	-0.2709018	-0.2501959	0.08810318
15	11	2.240772	-0.2708708	-0.2501886	0.08809137
15	11	2.252013	-0.2708169	-0.2500875	0.08819497
15	11	2.263228	-0.2707938	-0.2500844	0.08818603
15	11	2.274942	-0.2706693	-0.2500646	0.08815324
15	11	2.286363	-0.270712	-0.2501737	0.08801746
15	11	2.297032	-0.2707034	-0.2501422	0.08797097
15	11	2.308728	-0.2708091	-0.2501594	0.08799386
15	11	2.3196	-0.270739	-0.250072	0.0881052
15	11	2.331277	-0.2706689	-0.250084	0.08808935
15	11	2.342141	-0.2707373	-0.2500981	0.08811772
15	11	2.353333	-0.2707592	-0.2501535	0.08807647
15	11	2.364244	-0.2707075	-0.2502065	0.08814526
15	11	2.375686	-0.2705957	-0.250178	0.08809781
15	11	2.38681	-0.2706461	-0.2503217	0.08797872
15	11	2.398065	-0.2706789	-0.2501281	0.08771694
15	11	2.409327	-0.2708516	-0.2501732	0.08775568
15	11	2.419764	-0.2708628	-0.2501431	0.08776319
15	11	2.43095	-0.2710427	-0.2501506	0.08786106
15	11	2.442201	-0.2711288	-0.2501627	0.08786142
15	11	2.453001	-0.2711682	-0.2501185	0.08790052
15	11	2.46407	-0.2711372	-0.2501326	0.08785129
15	11	2.475373	-0.271066	-0.2500957	0.08782029
15	11	2.486375	-0.2710258	-0.2499275	0.08795786
15	11	2.497484	-0.2711728	-0.2499077	0.08807969
15	11	2.50919	-0.2710056	-0.2500553	0.08818233
15	11	2.520045	-0.2709848	-0.2499899	0.08826423
15	11	2.531215	-0.2707679	-0.2499429	0.08809328
15	11	2.542698	-0.2707342	-0.2499337	0.08810925
15	11	2.553947	-0.2708273	-0.2500948	0.0879451
15	11	2.565234	-0.2708424	-0.2503353	0.08823609
15	11	2.576412	-0.2708093	-0.2503386	0.08824384
15	11	2.587787	-0.2707719	-0.2502896	0.08834004
15	11	2.598773	-0.2708739	-0.2502358	0.08837903
15	11	2.610113	-0.2706969	-0.2501768	0.08832574
15	11	2.621474	-0.2708083	-0.2503724	0.08819795
15	11	2.632698	-0.2708876	-0.2503246	0.08813858
15	11	2.644175	-0.2707897	-0.2503037	0.08810985
15	11	2.654905	-0.2708024	-0.2503557	0.08807635
15	11	2.665921	-0.2710768	-0.2500589	0.08790553
15	11	2.677084	-0.2711201	-0.250046	0.08790147
15	11	2.688141	-0.2711174	-0.2500008	0.08791852
15	11	2.69916	-0.2708656	-0.2500484	0.08779955
15	11	2.710495	-0.2709554	-0.2500627	0.08782554
15	11	2.721293	-0.2708945	-0.2500424	0.08772898
15	11	2.732474	-0.2707096	-0.2502471	0.08784974
15	11	2.74374	-0.2707367	-0.2502593	0.08785439
15	11	2.754589	-0.270838	-0.2502365	0.08799922
15	11	2.766309	-0.270713	-0.2503903	0.08811963
15	11	2.777196	-0.2706246	-0.2503829	0.08809686
15	11	2.788244	-0.2705345	-0.2502716	0.08821881
15	11	2.799617	-0.2707884	-0.2501638	0.08831084
15	11	2.810561	-0.2707179	-0.2501504	0.08832347
15	11	2.821929	-0.2707042	-0.250084	0.08840358
15	11	2.833367	-0.2708027	-0.2499402	0.08832777
15	11	2.844394	-0.2708131	-0.249915	0.08832741
15	11	2.855367	-0.2709763	-0.2501161	0.08810306
15	11	2.867339	-0.2709448	-0.2501563	0.08813334
15	11	2.877895	-0.270788	-0.2501098	0.0880872
15	11	2.889224	-0.2705808	-0.2500018	0.0880245
15	11	2.900688	-0.2705241	-0.2500039	0.08805621
15	11	2.911527	-0.2706867	-0.2500567	0.08811653
15	11	2.92279	-0.2707042	-0.2500569	0.08811057
15	11	2.934004	-0.2705812	-0.2501752	0.08820534
15	11	2.944782	-0.2706087	-0.2501727	0.08819449
15	11	2.956004	-0.2704631	-0.2501858	0.08802998
15	11	2.967039	-0.2706835	-0.2499206	0.08779764
15	11	2.978382	-0.2708639	-0.2499529	0.08784568
15	11	2.989842	-0.2708371	-0.2498264	0.08792698
15	11	3.001566	-0.2707533	-0.2499239	0.08799982
15	11	3.011413	-0.2708265	-0.2499361	0.08803117
15	11	3.022783	-0.2708906	-0.2500592	0.08789659
15	11	3.034046	-0.2707462	-0.2502838	0.08803844
15	11	3.049894	-0.2706559	-0.2502695	0.08801174
15	11	3.057877	-0.2708027	-0.2503669	0.0881201
15	11	3.067796	-0.2710667	-0.2500309	0.08787131
15	11	3.078599	-0.2711446	-0.2500615	0.08783174
15	11	3.089737	-0.2711073	-0.2500333	0.08770454
15	11	3.101135	-0.271119	-0.2500874	0.087731
15	11	3.112699	-0.2711587	-0.2500731	0.08772087
15	11	3.12357	-0.271156	-0.2499328	0.08793521
15	11	3.134664	-0.2709039	-0.2502995	0.0882014
15	11	3.146079	-0.2707537	-0.2502356	0.08813405
15	11	3.156987	-0.2709957	-0.2503413	0.08815396
15	11	3.168447	-0.2711523	-0.250158	0.08805835
15	11	3.179504	-0.2710155	-0.2500854	0.08790934
15	11	3.190405	-0.2709935	-0.2499413	0.08799529
15	11	3.201602	-0.270903	-0.2500349	0.08806801
15	11	3.213012	-0.2707307	-0.2500577	0.08799744
15	11	3.223809	-0.2706124	-0.2500101	0.08790183
15	11	3.234773	-0.2704542	-0.2500426	0.08788168
15	11	3.246124	-0.2705483	-0.2501065	0.08793366
15	11	3.257537	-0.2703792	-0.2500823	0.08793509
15	11	3.268409	-0.2704061	-0.250055	0.08794248
15	11	3.27968	-0.2704582	-0.250006	0.0880096
15	11	3.290993	-0.2706094	-0.2500182	0.08815062
15	11	3.302105	-0.2708135	-0.249887	0.08810437
15	11	3.313064	-0.270979	-0.249782	0.08834839
15	11	3.324198	-0.2709014	-0.2497728	0.08831167
15	11	3.335155	-0.270637	-0.2500566	0.08864653
15	11	3.346435	-0.2707016	-0.2502679	0.08854342
15	11	3.357665	-0.2707852	-0.2502544	0.08861816
15	11	3.369448	-0.271011	-0.2500905	0.08857727
15	11	3.380344	-0.271217	-0.2500892	0.08881116
15	11	3.391765	-0.2710979	-0.2500707	0.0887692
15	11	3.402659	-0.2710595	-0.2500709	0.08881748
15	11	3.413927	-0.2709603	-0.2501589	0.08883047
15	11	3.425119	-0.2709205	-0.2502704	0.08905554
15	11	3.436253	-0.2708586	-0.2501959	0.08905447
15	11	3.447487	-0.2707506	-0.2501701	0.08916378
15	11	3.458918	-0.2707101	-0.2501898	0.08911788
15	11	3.469952	-0.2704419	-0.250546	0.08927774
15	11	3.481022	-0.2701705	-0.2504312	0.08918011
15	11	3.492418	-0.2703052	-0.2504338	0.08898699
15	11	3.50349	-0.2703339	-0.2503949	0.08868086
15	11	3.514351	-0.2704048	-0.250358	0.08850574
15	11	3.52612	-0.2705344	-0.2503377	0.08827257
15	11	3.536854	-0.2705202	-0.2503836	0.0880729
15	11	3.548064	-0.2705361	-0.2502567	0.08800805
15	11	3.559259	-0.2705384	-0.250212	0.08777022
15	11	3.599608	-0.2707928	-0.2500955	0.08704495
15	11	3.608309	-0.2707894	-0.2500906	0.08685958
15	11	3.616264	-0.2709249	-0.2501242	0.08663964
15	11	3.623558	-0.2709249	-0.2501242	0.08663964
15	11	3.63085	-0.270852	-0.2500988	0.08649027
15	11	3.638416	-0.2709138	-0.250198	0.08660924
15	11	3.648359	-0.2708859	-0.2501945	0.08659852
15	11	3.659741	-0.2711233	-0.2502034	0.08683753
15	11	3.670832	-0.2711128	-0.2503157	0.08698964
15	11	3.681901	-0.2711321	-0.2502984	0.08714485
15	11	3.69308	-0.2710029	-0.2502595	0.08722472
15	11	3.70398	-0.2712233	-0.2501516	0.08729303
15	11	3.715005	-0.2711849	-0.2501389	0.08747721
15	11	3.726065	-0.2709993	-0.2500823	0.08747232
15	11	3.737765	-0.2709696	-0.250116	0.08764565
15	11	3.749164	-0.2710222	-0.2501882	0.08769882
15	11	3.760033	-0.2710581	-0.2501966	0.08783102
15	11	3.771255	-0.2711314	-0.2501376	0.08791339
15	11	3.782792	-0.2711183	-0.250061	0.08806598
15	11	3.793804	-0.2710614	-0.2500379	0.08805323
15	11	3.804936	-0.2710755	-0.2500232	0.08816504
15	11	3.816148	-0.2713624	-0.2501072	0.08827472
15	11	3.827332	-0.2715375	-0.250133	0.08836889
15	11	3.838763	-0.2714736	-0.2502837	0.08843255
15	11	3.850023	-0.2712592	-0.2501034	0.08858573
15	11	3.860646	-0.2712213	-0.2501003	0.08862066
15	11	3.871605	-0.2712414	-0.2501255	0.08863604
15	11	3.883286	-0.2712131	-0.2501389	0.08866668
15	11	3.893977	-0.2711937	-0.250149	0.08870268
15	11	3.905386	-0.2711513	-0.250036	0.0886122
15	11	3.916376	-0.2711401	-0.2501227	0.08850026
15	11	3.927532	-0.2711096	-0.2501494	0.08850694
15	11	3.938407	-0.2710339	-0.2501876	0.08847272
15	11	3.949543	-0.2709135	-0.2500516	0.08860362
15	11	3.960727	-0.2710978	-0.2500988	0.08885205
15	11	3.972113	-0.2710863	-0.2501574	0.08890533
15	11	3.983735	-0.2711486	-0.2502335	0.08883595
15	11	3.994692	-0.2712111	-0.2499361	0.08848846
15	11	4.0059	-0.2711111	-0.2498807	0.08844328
15	11	4.017324	-0.271279	-0.2500747	0.08818996
15	11	4.028208	-0.2710388	-0.2500094	0.0879066
15	11	4.039342	-0.2709564	-0.250066	0.08791494
15	11	4.050943	-0.2709333	-0.2499859	0.08792102
15	11	4.061862	-0.2710491	-0.2499663	0.08793116
15	11	4.073107	-0.2710516	-0.250221	0.08811677
15	11	4.084314	-0.2710966	-0.2502637	0.08807445
15	11	4.095345	-0.2711763	-0.2501402	0.08793128
15	11	4.10659	-0.2711345	-0.2501358	0.08790219
15	11	4.118107	-0.2711544	-0.2501475	0.08785117
15	11	4.129003	-0.2713088	-0.2501777	0.08798051
15	11	4.140065	-0.2712357	-0.2500187	0.08786511
15	11	4.151659	-0.271219	-0.250053	0.08780301
15	11	4.162244	-0.2710665	-0.2501117	0.08784533
15	11	4.173229	-0.2706596	-0.2501302	0.08767056
15	11	4.184552	-0.2702746	-0.2500293	0.08761263
15	11	4.195452	-0.2700349	-0.2500601	0.08744597
15	11	4.206538	-0.2698592	-0.2500851	0.0872035
15	11	4.218094	-0.2698272	-0.2501863	0.08693993
15	11	4.229184	-0.2700669	-0.2502239	0.08694279
15	11	4.240336	-0.2697752	-0.2505201	0.08705258
15	11	4.252073	-0.2700197	-0.2503835	0.08710694
15	11	4.263702	-0.2702807	-0.250149	0.0868597
15	11	4.273949	-0.2707915	-0.2501551	0.0868063
15	11	4.285148	-0.2711391	-0.2501494	0.08663356
15	11	4.296276	-0.2714373	-0.2501061	0.08657861
15	11	4.307679	-0.2714797	-0.2500508	0.08657527
15	11	4.318688	-0.2717317	-0.2501496	0.08647788
15	11	4.32961	-0.2719427	-0.2500806	0.08668232
15	11	4.340925	-0.272046	-0.2500893	0.0869472
15	11	4.352323	-0.2724125	-0.2500728	0.08744729
15	11	4.36321	-0.2730433	-0.2496935	0.08757865
15	11	4.374293	-0.273363	-0.2495747	0.08792019
15	11	4.385545	-0.2736773	-0.2495698	0.08818793
15	11	4.396662	-0.2737968	-0.2495043	0.08837485
15	11	4.408253	-0.2737404	-0.2494612	0.08869803
15	11	4.418903	-0.2735887	-0.249506	0.08903265
15	11	4.43016	-0.2733818	-0.2495861	0.08943927
15	11	4.441317	-0.2729465	-0.2497299	0.09009302
15	11	4.452724	-0.2727433	-0.2497548	0.09061515
15	11	4.463954	-0.2727439	-0.2496716	0.09077322
15	11	4.474977	-0.2726053	-0.2496705	0.09095144
15	11	4.486243	-0.2723641	-0.2495666	0.09103918
15	11	4.497298	-0.2722695	-0.2496064	0.09112203
15	11	4.508569	-0.2722006	-0.2496592	0.0911516
15	11	4.519774	-0.2720082	-0.2496146	0.0910939
15	11	4.530797	-0.2717859	-0.2498529	0.09106183
15	11	4.542142	-0.2717623	-0.2498797	0.09043097
15	11	4.552928	-0.2718257	-0.2497964	0.09003758
15	11	4.563871	-0.271576	-0.2499123	0.0897547
15	11	4.575281	-0.2713073	-0.2500304	0.08927202
15	11	4.586353	-0.2709086	-0.2500058	0.08888721
15	11	4.597631	-0.2706573	-0.2500672	0.0885005
15	11	4.609507	-0.2703023	-0.2501003	0.08833849
15	11	4.620265	-0.2700976	-0.2502685	0.08803034
15	11	4.631487	-0.2695171	-0.2505459	0.08781099
15	11	4.642561	-0.2693712	-0.2505929	0.08761334
15	11	4.653662	-0.2690411	-0.2506483	0.0876466
15	11	4.664864	-0.2690927	-0.2504911	0.08743238
15	11	4.676353	-0.2691185	-0.2505295	0.08736801
15	11	4.68721	-0.2692715	-0.2505299	0.0874145
15	11	4.698489	-0.2692134	-0.2506028	0.08743238
15	11	4.709808	-0.2690769	-0.2505397	0.08738625
15	11	4.720937	-0.2693051	-0.2506593	0.08719444
15	11	4.7322	-0.2693133	-0.2506987	0.08708906
15	11	4.743518	-0.2698611	-0.2505749	0.08710003
15	11	4.754416	-0.270265	-0.2505387	0.08707643
15	11	4.765385	-0.2704536	-0.2503481	0.08687639
15	11	4.776881	-0.2708356	-0.2503219	0.08692348
15	11	4.787626	-0.2711792	-0.2500784	0.08717954
15	11	4.798922	-0.2716924	-0.2500435	0.08715034
15	11	4.810283	-0.272074	-0.2499566	0.08712173
15	11	4.821248	-0.2726769	-0.2500029	0.08700573
15	11	4.832258	-0.2730701	-0.2498635	0.08693898
15	11	4.84368	-0.2732059	-0.249786	0.08690643
15	11	4.854907	-0.2731289	-0.2497224	0.08693612
15	11	4.866049	-0.273065	-0.2496784	0.08694375
15	11	4.877196	-0.2729664	-0.2497015	0.08700073
15	11	4.888342	-0.2724841	-0.2498184	0.08725202
15	11	4.899253	-0.2720551	-0.2499616	0.08734953
15	11	4.910516	-0.2716118	-0.2501072	0.08744705
15	11	4.921453	-0.2710543	-0.2502308	0.08735359
15	11	4.933114	-0.2708735	-0.2502114	0.08730483
15	11	4.944177	-0.270735	-0.2502884	0.08738041
15	11	4.955309	-0.270916	-0.2502248	0.08765471
15	11	4.966514	-0.2710266	-0.2500567	0.08755684
15	11	4.977782	-0.2709343	-0.250021	0.08755493
15	11	4.98851	-0.2707769	-0.2501986	0.08718348
15	11	4.999917	-0.2704875	-0.2504281	0.08723605
15	11	5.011469	-0.2704686	-0.2504579	0.08707941
15	11	5.02297	-0.2704312	-0.250433	0.0871253
15	11	5.033599	-0.2703844	-0.2504623	0.08712029
15	11	5.044567	-0.2703936	-0.250437	0.08712828
15	11	5.055789	-0.2706732	-0.250422	0.08731604
15	11	5.067226	-0.2709311	-0.2502185	0.08736873
15	11	5.078553	-0.2710086	-0.2501982	0.08752251
15	11	5.090033	-0.2708231	-0.2500623	0.087533
15	11	5.101242	-0.2707812	-0.2500937	0.08768797
15	11	5.112082	-0.2708539	-0.2500331	0.08776438
15	11	5.123288	-0.2712436	-0.2500331	0.08785009
15	11	5.134701	-0.2714105	-0.2500893	0.08807361
15	11	5.145671	-0.2719625	-0.25003	0.08831632
15	11	5.156744	-0.2723858	-0.2499539	0.08855605
15	11	5.167801	-0.2729506	-0.2497917	0.08856118
15	11	5.178768	-0.2731916	-0.249666	0.0886606
15	11	5.189882	-0.2734002	-0.2494515	0.08900011
15	11	5.201394	-0.2737033	-0.2493364	0.0890826
15	11	5.21225	-0.2740748	-0.2491926	0.08919442
15	11	5.223238	-0.2744159	-0.2491771	0.08930564
15	11	5.234656	-0.2745502	-0.249083	0.08942747
15	11	5.246003	-0.2744323	-0.2490934	0.08952725
15	11	5.25667	-0.2743191	-0.2490656	0.08974242
15	11	5.26827	-0.2741731	-0.2491171	0.08990896
15	11	5.279577	-0.2738928	-0.2490798	0.09009504
15	11	5.290687	-0.2736546	-0.2491283	0.09016979
15	11	5.302169	-0.2733395	-0.2491876	0.09023464
15	11	5.312953	-0.2730398	-0.2493131	0.09033537
15	11	5.324409	-0.2729008	-0.2496911	0.09019959
15	11	5.335671	-0.272549	-0.2497578	0.09015048
15	11	5.346538	-0.2720779	-0.2498276	0.08999896
15	11	5.357087	-0.2718617	-0.2499006	0.0899266
15	11	5.368695	-0.2715181	-0.250072	0.08988166
15	11	5.379406	-0.2712578	-0.2501265	0.08970976
15	11	5.39059	-0.2708304	-0.2500932	0.08953857
15	11	5.402002	-0.2706355	-0.2499741	0.08918548
15	11	5.412809	-0.2705666	-0.250067	0.08885872
15	11	5.424152	-0.2705799	-0.2500597	0.08859038
15	11	5.435589	-0.2705386	-0.2502015	0.08843565
15	11	5.446675	-0.2703207	-0.2502085	0.0882442
15	11	5.45779	-0.2699848	-0.2500401	0.08814991
15	11	5.469574	-0.2698302	-0.2501143	0.0881089
15	11	5.480256	-0.2697477	-0.2502077	0.08794022
15	11	5.49157	-0.2696649	-0.250252	0.08799553
15	11	5.502989	-0.2695031	-0.2503539	0.0880568
15	11	5.513862	-0.2695429	-0.250406	0.08818841
15	11	5.525011	-0.2695444	-0.2504114	0.08832359
15	11	5.536428	-0.269539	-0.2504539	0.08852184
15	11	5.547367	-0.2695169	-0.2506355	0.08843017
15	11	5.558949	-0.2695397	-0.2506065	0.08838439
15	11	5.569776	-0.2696043	-0.2506168	0.08838594
15	11	5.581257	-0.2696621	-0.250514	0.08846211
15	11	5.592463	-0.2698548	-0.2504871	0.08841825
15	11	5.60301	-0.2701219	-0.2503536	0.08817792
15	11	5.614279	-0.2702551	-0.2503494	0.08791792
15	11	5.625906	-0.2704523	-0.2502766	0.08763874
15	11	5.636927	-0.270805	-0.250304	0.08752441
15	11	5.647698	-0.2709305	-0.2500901	0.08752477
15	11	5.658996	-0.2710989	-0.2500376	0.08734024
15	11	5.670154	-0.2713594	-0.2499542	0.08718514
15	11	5.681323	-0.271647	-0.2498952	0.08703303
15	11	5.692444	-0.2720445	-0.2498469	0.08701026
15	11	5.703789	-0.2721593	-0.2498982	0.08697152
15	11	5.714855	-0.2724153	-0.2498577	0.08693659
15	11	5.726249	-0.2725122	-0.2497898	0.08668625
15	11	5.737372	-0.2727065	-0.2497097	0.08651721
15	11	5.748597	-0.2728426	-0.249687	0.08641565
15	11	5.759931	-0.2728391	-0.2496666	0.08646333
15	11	5.770839	-0.2727987	-0.249608	0.08640432
15	11	5.78189	-0.2727599	-0.249709	0.08636379
15	11	5.793336	-0.2727231	-0.2497592	0.08647192
15	11	5.804023	-0.2724121	-0.2500031	0.08670533
15	11	5.815063	-0.272211	-0.2500134	0.08681989
15	11	5.826437	-0.2719038	-0.250066	0.08694804
15	11	5.837156	-0.2719085	-0.2497634	0.08693099
15	11	5.848519	-0.2717048	-0.2498289	0.08715284
15	11	5.860111	-0.2716441	-0.2498676	0.0874666
15	11	5.871044	-0.2715709	-0.2498482	0.08767164
15	11	5.882006	-0.2716199	-0.249933	0.08793807
15	11	5.893225	-0.2713972	-0.2499477	0.08809352
15	11	5.90434	-0.2710096	-0.250278	0.08849323
15	11	5.915577	-0.2708752	-0.2503147	0.08872771
15	11	5.926973	-0.2706307	-0.2503071	0.08872068
15	11	5.938287	-0.2704589	-0.2502822	0.08886385
15	11	5.949621	-0.2703986	-0.2503948	0.08886826
15	11	5.960571	-0.2703445	-0.2504255	0.08890367
15	11	5.971714	-0.2703726	-0.2504435	0.08889937
15	11	5.982999	-0.2702972	-0.2503128	0.08899808
15	11	5.994567	-0.2704827	-0.250348	0.08910263
15	11	6.005427	-0.2706329	-0.2503903	0.0891186
15	11	6.016661	-0.2707249	-0.2503698	0.08908701
15	11	6.028072	-0.2710135	-0.2503726	0.08910596
15	11	6.03902	-0.2711548	-0.2501088	0.08872628
